394589.981,6459629.776,11.899,1832,818,101_0002_0019.JPG
394562.677,6459648.234,12.401,222,1058,101_0002_0019.JPG
394571.256,6459639.176,12.185,840,1100,101_0002_0019.JPG
394562.677,6459648.234,12.401,560,1675,101_0002_0019.JPG
394578.04,6459645.103,12.341,882,657,101_0002_0019.JPG
394589.981,6459629.776,11.899,1979,1490,101_0002_0035.JPG
394562.677,6459648.234,12.401,3572,1228,101_0002_0035.JPG
394571.256,6459639.176,12.185,2962,1194,101_0002_0035.JPG
394562.677,6459648.234,12.401,3241,621,101_0002_0035.JPG
394578.04,6459645.103,12.341,2921,1634,101_0002_0035.JPG
394571.256,6459639.176,12.185,2884,3388,101_0002_0038.JPG
394562.677,6459648.234,12.401,3157,2807,101_0002_0038.JPG
394562.677,6459648.234,12.401,3494,3415,101_0002_0038.JPG
394589.981,6459629.776,11.899,5044,1908,101_0002_0048.JPG
394562.677,6459648.234,12.401,3473,2155,101_0002_0048.JPG
394571.256,6459639.176,12.185,4077,2194,101_0002_0048.JPG
394562.677,6459648.234,12.401,3790,2765,101_0002_0048.JPG
394578.04,6459645.103,12.341,4125,1756,101_0002_0048.JPG
394589.981,6459629.776,11.899,2991,1360,101_0002_0068.JPG
394562.677,6459648.234,12.401,2333,1949,101_0002_0068.JPG
394571.256,6459639.176,12.185,2678,1746,101_0002_0068.JPG
394562.677,6459648.234,12.401,2830,2077,101_0002_0068.JPG
394578.04,6459645.103,12.341,2492,1579,101_0002_0068.JPG
